,agic_sortid,taxable_year,agic,county,all_returns,all_joint_returns,all_taxable_returns,dependents_on_returns,adjusted_gross_income,tax_assessed
5400,23,2005,"300,000 to 399,999",Nevada,287,227,286,216,99376000,7046000
5401,25,2003,"500,000 to 999,999",Nevada,106,94,104,78,68911000,5466000
5402,10,2012,"24,000 to 26,999",Nevada,1464,444,746,695,37345000,184000
5403,22,2008,"200,000 to 299,999",Nevada,701,605,698,619,168395000,9624000
5404,8,2016,"18,000 to 20,999",Nevada,1737,369,853,541,33878000,75000
5405,8,2007,"18,000 to 20,999",Nevada,1673,412,865,597,32610000,104000
5406,26,2016,"1,000,000 and over",Nevada,92,71,92,58,218979000,23993000
5407,18,2014,"80,000 to 89,999",Nevada,1511,1078,1487,863,128121000,3294000
5408,26,2011,"1,000,000 and over",Nevada,57,47,56,54,145001000,12433000
5409,14,2004,"40,000 to 49,999",Nevada,3521,2027,2858,2034,157854000,2213000
5410,24,2004,"400,000 to 499,999",Nevada,117,97,116,83,52285000,3943000
5411,1,2005,Zero and Deficit,Nevada,890,338,26,291,-26178000,7000
5412,21,2015,"150,000 to 199,999",Nevada,1752,1458,1745,1266,300227000,15116000
5413,24,2007,"400,000 to 499,999",Nevada,152,123,152,91,67626000,4943000
5414,2,2007,"1 to 2,999",Nevada,1708,171,199,193,2406000,3000
5415,21,2006,"150,000 to 199,999",Nevada,1075,913,1066,833,183956000,9424000
5416,4,2009,"6,000 to 8,999",Nevada,1831,299,260,405,13747000,14000
5417,13,2007,"35,000 to 39,999",Nevada,1969,815,1313,868,73832000,811000
5418,1,2010,Zero and Deficit,Nevada,1477,588,36,402,-97160000,20000
5419,5,2013,"9,000 to 11,999",Nevada,1717,246,195,435,17992000,20000
5420,17,2012,"70,000 to 79,999",Nevada,1777,1280,1711,1023,133055000,2916000
5421,18,2012,"80,000 to 89,999",Nevada,1414,1062,1378,848,119951000,3057000
5422,21,2003,"150,000 to 199,999",Nevada,739,647,732,670,126249000,6824000
5423,15,2011,"50,000 to 59,999",Nevada,2616,1540,2183,1383,143508000,2134000
5424,6,2016,"12,000 to 14,999",Nevada,1775,293,310,504,23960000,20000
5425,7,2013,"15,000 to 17,999",Nevada,1746,367,620,644,28798000,37000
5426,8,2010,"18,000 to 20,999",Nevada,1729,464,875,738,33657000,120000
5427,7,2005,"15,000 to 17,999",Nevada,1794,402,922,564,29670000,78000
5428,26,2006,"1,000,000 and over",Nevada,87,75,87,53,183650000,16576000
5429,12,2006,"30,000 to 34,999",Nevada,2228,870,1371,949,72241000,690000
5430,19,2013,"90,000 to 99,999",Nevada,1292,989,1276,851,122405000,3549000
5431,17,2003,"70,000 to 79,999",Nevada,1729,1412,1690,1466,129227000,3217000
5432,20,2011,"100,000 to 149,999",Nevada,3375,2824,3349,2580,408216000,15178000
5433,20,2014,"100,000 and over",Nevada,3894,3133,3869,2678,471665000,17849000
5434,22,2003,"200,000 to 299,999",Nevada,486,417,483,428,116554000,7428000
5435,13,2009,"35,000 to 39,999",Nevada,1980,894,1576,978,74231000,854000
5436,22,2006,"200,000 to 299,999",Nevada,773,645,767,594,185465000,11288000
5437,21,2012,"150,000 to 199,999",Nevada,1287,1109,1281,990,220563000,11005000
5438,4,2004,"6,000 to 8,999",Nevada,1817,229,361,376,13605000,16000
5439,6,2012,"12,000 to 14,999",Nevada,1737,324,375,563,23368000,23000
5440,4,2011,"6,000 to 8,999",Nevada,1682,242,239,360,12649000,12000
5441,3,2016,"3,000 to 5,999",Nevada,1574,190,275,274,7151000,7000
5442,24,2012,"400,000 to 499,999",Nevada,119,109,119,104,53553000,3913000
5443,8,2013,"18,000 to 20,999",Nevada,1607,346,778,599,31305000,78000
5444,26,2008,"1,000,000 and over",Nevada,65,52,64,62,142232000,11614000
5445,25,2004,"500,000 to 999,999",Nevada,129,109,129,86,83083000,6675000
5446,2,2009,"1 to 2,999",Nevada,1841,288,95,266,2355000,2000
5447,9,2014,"21,000 to 23,999",Nevada,1605,410,788,646,36048000,112000
5448,5,2008,"9,000 to 11,999",Nevada,1728,279,190,449,18146000,13000
5449,1,2006,Zero and Deficit,Nevada,946,374,29,350,-32929000,17000
5450,3,2004,"3,000 to 5,999",Nevada,1734,176,556,296,7849000,12000
5451,15,2014,"50,000 to 59,999",Nevada,2625,1424,2219,1309,144088000,2216000
5452,10,2005,"24,000 to 26,999",Nevada,1588,533,863,671,40484000,280000
5453,24,2010,"400,000 to 499,999",Nevada,110,89,108,101,49119000,3632000
5454,23,2013,"300,000 to 399,999",Nevada,268,236,267,217,91625000,6151000
5455,14,2010,"40,000 to 49,999",Nevada,3229,1696,2884,1671,144976000,2053000
5456,4,2005,"6,000 to 8,999",Nevada,1800,251,361,351,13419000,16000
5457,5,2014,"9,000 to 11,999",Nevada,1731,231,196,419,18196000,19000
5458,8,2005,"18,000 to 20,999",Nevada,1787,447,897,679,34789000,137000
5459,15,2008,"50,000 to 59,999",Nevada,2720,1619,2293,1433,149259000,2241000
5460,6,2003,"12,000 to 14,999",Nevada,1948,425,736,596,26238000,45000
5461,16,2010,"60,000 to 69,999",Nevada,2070,1400,2010,1215,134255000,2943000
5462,5,2010,"9,000 to 11,999",Nevada,1866,345,272,507,19637000,21000
5463,25,2005,"500,000 to 999,999",Nevada,181,155,180,141,119984000,9573000
5464,13,2016,"35,000 to 39,999",Nevada,2022,744,1208,880,75697000,683000
5465,18,2015,"80,000 to 89,999",Nevada,1482,1020,1458,834,125850000,3317000
5466,16,2009,"60,000 to 69,999",Nevada,2162,1451,2103,1269,140011000,3045000
5467,9,2008,"21,000 to 23,999",Nevada,1634,493,777,630,36729000,136000
5468,8,2008,"18,000 to 20,999",Nevada,1703,462,819,650,33162000,84000
5469,18,2005,"80,000 to 89,999",Nevada,1516,1258,1490,1164,128631000,3498000
5470,12,2008,"30,000 to 34,999",Nevada,2148,799,1195,967,69663000,550000
5471,20,2009,"100,000 to 149,999",Nevada,3191,2728,3169,2574,384187000,15144000
5472,22,2009,"200,000 to 299,999",Nevada,635,562,631,513,149843000,8947000
5473,7,2007,"15,000 to 17,999",Nevada,1731,376,854,617,28576000,64000
5474,17,2015,"70,000 to 79,999",Nevada,1918,1260,1851,1039,143701000,3174000
5475,3,2008,"3,000 to 5,999",Nevada,1786,186,438,221,8057000,9000
5476,10,2006,"24,000 to 26,999",Nevada,1484,461,789,602,37832000,245000
5477,14,2008,"40,000 to 49,999",Nevada,3403,1740,2464,1738,152395000,1791000
5478,8,2014,"18,000 to 20,999",Nevada,1663,367,765,604,32351000,71000
5479,11,2015,"27,000 to 29,999",Nevada,1489,418,816,586,42486000,257000
5480,5,2016,"9,000 to 11,999",Nevada,1662,273,205,401,17467000,16000
5481,16,2003,"60,000 to 69,999",Nevada,2215,1649,2120,1738,143506000,3122000
5482,7,2015,"15,000 to 17,999",Nevada,1763,340,620,614,29074000,42000
5483,9,2006,"21,000 to 23,999",Nevada,1578,476,822,639,35494000,180000
5484,10,2008,"24,000 to 26,999",Nevada,1521,504,794,610,38766000,204000
5485,14,2003,"40,000 to 49,999",Nevada,3490,2111,2868,2146,156511000,2214000
5486,9,2016,"21,000 to 23,999",Nevada,1591,400,794,544,35767000,110000
5487,20,2013,"100,000 to 149,999",Nevada,3624,2966,3596,2628,437684000,16566000
5488,19,2011,"90,000 to 99,999",Nevada,1208,951,1186,859,114413000,3205000
5489,18,2013,"80,000 to 89,999",Nevada,1490,1075,1462,942,126590000,3282000
5490,3,2011,"3,000 to 5,999",Nevada,1640,232,319,266,7322000,10000
5491,22,2014,"200,000 to 299,999",Nevada,985,841,983,753,235653000,14142000
5492,4,2016,"6,000 to 8,999",Nevada,1749,198,344,334,13077000,19000
5493,21,2005,"150,000 to 199,999",Nevada,1008,855,1003,855,172427000,9021000
5494,21,2014,"150,000 to 199,999",Nevada,1547,1303,1537,1157,264455000,13204000
5495,5,2012,"9,000 to 11,999",Nevada,1717,289,166,451,18042000,17000
